,id,created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count,negative,neutral,positive,sentiment_score,sentiment
8490,D8491,2022-07-06 09:51:55,good morn jeff brew morn appreci support stay cool enjoy day cheer,,"[33057154, 920361, 8771022]","['jeffsheehan', 'dunkin', 'dunkindonuts']",0,1,33057154.0,jeffsheehan,3226248627,DonnyoSpeaks,Don O'Connor : Double Dosed + Boosted💉,4696,4287,204744,False,194456,0.059,0.456,0.485,0.942,positive
8491,D8492,2022-07-06 09:51:34,nak makan donut melayu one starbuk dunkin tepi jalan onee aaaa gerai gerai like tepi jalan subang place suck,,[],[],0,1,,,99876902,oohrzh,hrzh,1154,272,14569,False,31553,0.142,0.783,0.075,-0.296,negative
8492,D8493,2022-07-06 09:48:15,search suspect continu stray bullet nearli hit dunkin custom chelsea,,[],[],0,0,,,4746090250,NBC10Boston,NBC10 Boston,450,36457,1824,True,128952,0.145,0.855,0.0,-0.296,negative
8493,D8494,2022-07-06 09:46:30,pl nasa dunkin donut ako watch,,[],[],2,2,,,735731825515995138,winftvachi,‏ً,640,410,5353,False,21331,0.0,0.816,0.184,0.2577,positive
8494,D8495,2022-07-06 09:46:23,corbyn chanc le pen breath easier,,"[1520766342198145028, 1480178879407038470, 15348883, 22776133, 143405324]","['peter_dunkin', 'Freddie_Galen', 'MrHarryCole', 'christopherhope', 'BWallaceMP']",0,0,1.520766342198145e+18,peter_dunkin,150777984,ianrobo1,Україна в моїй крові 🕎🇺🇦🇮🇪🏴󠁧󠁢󠁥󠁮󠁧󠁿🐶,3208,2505,76943,False,375343,0.11,0.696,0.194,0.3234,positive
8495,D8496,2022-07-06 09:46:13,yuk spill go drink kalau di dunkin gui,,[],[],0,1,,,619030243,FOOD_FESS,GUIS,21524,416130,15,False,381532,0.0,1.0,0.0,0.0,neutral
8496,D8497,2022-07-06 09:45:18,dunk provid keep name probabl long,,[14354091],['projo'],0,0,14354091.0,projo,151515893,projopaul,Paul Edward Parker,182,1381,92,False,56260,0.0,1.0,0.0,0.0,neutral
8497,D8498,2022-07-06 09:43:48,bruh freakin crave dunkin donut lt,,[],[],0,0,,,504159387,gbrllccdy,Gabrielle⚕,1095,1962,52111,False,74329,0.0,1.0,0.0,0.0,neutral
8498,D8499,2022-07-06 09:36:29,absolut trump white hous corbyn 10 le pen elyse well scholz feder chancelleri would like disast ukrain certainli stuff nightmar,,"[150777984, 1480178879407038470, 15348883, 22776133, 143405324]","['ianrobo1', 'Freddie_Galen', 'MrHarryCole', 'christopherhope', 'BWallaceMP']",0,0,150777984.0,ianrobo1,1520766342198145028,peter_dunkin,Peter Dunkin,39,0,429,False,75,0.094,0.777,0.13,-0.4153,negative
8499,D8500,2022-07-06 09:33:49,pesto grill chees dunkin donut choke hold,,[],[],0,0,,,858041364864479232,ttudaa_,America’s Sweetheart 2 you,98,88,932,False,6924,0.226,0.774,0.0,-0.5423,negative
