created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-06-16 17:11:31+00:00,"Strawberry dragonfruit with coconut milk.. from Dunkin, yum! ,",[],[],[],0,2,,,1412096120143192066,Sonya_ncgg4Will,Sonya 👠🔥👑❤,932,1054,27959,False,8401
2022-06-16 17:11:14+00:00,Lil' Stubbies. Coming to a Dunkin near you.,[],[1315273376],['lizzicochrane'],0,0,1315273376,lizzicochrane,1224035703501336577,o_ke38011833,SteveO,612,606,29564,False,13015
2022-06-16 17:10:00+00:00,"New Dunkin' Donuts/Baskin Robbins with drive-thru nearing completion in Rockville (Photos): , ,",[],[],[],0,1,,,80806351,BethesdaRow,Robert Dyer,1782,5721,14763,False,18916
2022-06-16 17:07:43+00:00,Guy in front of me at Dunkin just ordered 2 donuts and paid with a $100 bill,[],[],[],0,0,,,2274049780,deez_blm,QUEEN GAMBIT,637,613,69972,False,6125
2022-06-16 17:07:35+00:00,Dunkin donuts and Amazon,[],[818918871440773120],['FetchRewards'],0,1,818918871440773120,FetchRewards,1056271007349161984,Cuban_Rican821,MomOf3💙💙💜,165,9,80,False,145
2022-06-16 17:07:03+00:00,When dunkin is good its GOOOOODDDDD like does this DD employee want to marry me perhaps?,[],[],[],0,1,,,33297356,SHDecker,sd,264,362,31418,False,15611
2022-06-16 17:06:51+00:00,Never been to applebees and dunkin donuts.,[],[1355331976358551556],['SUNNlSlDE'],0,0,1355331976358551556,SUNNlSlDE,1522315779839971328,ExiledCrusader,Exile,23,7,249,False,243
2022-06-16 17:06:04+00:00,Hahahahhaa or any basic white girl between the ages of 19-35 that drives any Nissan sedan. Even smaller time frames if shes a regular at dunkin or Starbucks,[],[1071876643071975424],['sara_pizzo'],0,0,1071876643071975424,sara_pizzo,18250559,bornxforthisx,bornxforthisx,339,344,14615,False,7860
2022-06-16 17:04:29+00:00,Dunkin Donuts 4 pumps butter pecan with 3 cream and sugar ,[],[757959543833792512],['yospricilaa'],0,0,757959543833792512,yospricilaa,1240313770142040064,JJuleizy,Abigail🫧,384,441,41971,False,18672
2022-06-16 17:03:51+00:00,Duuuuuude Nah dude Youve got it all wrong. Dunkin has its place.,[],[1168242166726086656],['tclarkmedia'],0,1,1168242166726086656,tclarkmedia,1343848801174495232,mikeryanretail,Mike Ryan,407,743,3141,False,2179
2022-06-16 17:02:44+00:00,Dunkin Donuts coffee ,[],[],[],0,1,,,334726072,chuckedup_,chuck,4996,1755,131650,False,66304
2022-06-16 17:02:02+00:00,"Dunkin' Donuts10166 800 128 8999 ,",[],[1424708164398862348],['theVN0'],0,0,1424708164398862348,theVN0,748155290,SaadBinRashed,Saad,276,609,272,False,17986
2022-06-16 17:01:54+00:00,Dunkin be stingy af with the sweet cold foam.,[],[],[],0,0,,,156394485,_DespicableKey,TBE,134,260,33475,False,6376
2022-06-16 17:00:36+00:00,"Dunkin you nasty. I like you. ,",[],[],[],0,2,,,30240341,Drej23,Andrej Pantich,1005,149,10048,False,5936
2022-06-16 17:00:15+00:00,Gym or Dunkin Donuts?,[],[],[],0,0,,,712889375328190464,lonniewoo,AKW ♋️,118,191,1734,False,5705
2022-06-16 17:00:07+00:00,krispy kreme or dunkin donut - important difference,[],[283441072],['DeanDobbs'],0,1,283441072,DeanDobbs,937793920188211200,Suttons_Buttons,ｓｕｔｔｏｎ,671,317,31723,False,10111
2022-06-16 16:59:08+00:00,Yall be caught up n hype I just do me ya know,[],[3365989213],['1Likaaaaa_'],0,0,3365989213,1Likaaaaa_,165973387,stat_dunkin,WeAllWeGot,841,2106,14110,False,147439
2022-06-16 16:58:56+00:00,i think everyone should try the strawberry dragonfruit lemonade dunkin refresher,[],[],[],0,0,,,803792329702277120,dazaiwazai,dev,242,39,47582,False,85274
2022-06-16 16:58:55+00:00,Been doing it for 2 years and it still breaks my heart to drop Dunkin off at the groomer  he always looks so sad when he realizes Im leaving him there,[],[],[],0,0,,,64422630,mollysuek_,Molly K,198,205,12881,False,17633
